연번,도로명주소,지번주소,상세위치,위도,경도,지오코딩출처,매칭주소,지오코딩상태,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
1,,서울특별시 용산구 동자동 8-3,새꿈어린이공원,37.552402960279494,126.97423062445733,parcel,서울특별시 용산구 동자동 8-3,OK(parcel 폴백),11030530,남영동,11030,용산구
2,서울특별시 용산구 한강대로77길 12,서울특별시 용산구 갈월동 93-30,다이소 남영역점 옆 골목,37.54220882044582,126.97189508288085,road,서울특별시 용산구 한강대로77길 12 (갈월동),OK,11030530,남영동,11030,용산구
3,서울특별시 용산구 한강대로 69,서울특별시 용산구 한강로2가 420,깐부치킨 앞 인도,37.5274369775247,126.96538061984802,road,서울특별시 용산구 한강대로 69 (한강로2가),OK,11030730,한강로동,11030,용산구
4,서울특별시 용산구 서빙고로 17,서울특별시 용산구 한강로3가 63-70,신용산교회 앞 공터,37.526282981912445,126.96683816798011,road,서울특별시 용산구 서빙고로 17 (한강로3가),OK,11030730,한강로동,11030,용산구
5,서울특별시 용산구 백범로87길 55,서울특별시 용산구 원효로1가 44-11,열정도고깃집 앞 이면도로,37.53971707731931,126.9694029512322,road,서울특별시 용산구 백범로87길 55 (원효로1가),OK,11030720,원효로1동,11030,용산구
6,서울특별시 용산구 한강대로 186,서울특별시 용산구 한강로1가 137-1,평양집 안쪽 골목,37.53485081206236,126.97397556446418,road,서울특별시 용산구 한강대로 186 (한강로1가),OK,11030730,한강로동,11030,용산구
7,서울 용산구 한강대로 95,서울 용산구 한강로2가 422,래미안용산더센트럴 일대,37.528848984050285,126.96662862259808,road,"서울특별시 용산구 한강대로 95 (한강로2가,래미안 용산 더 센트럴)",OK,11030730,한강로동,11030,용산구
8,서울특별시 용산구 한강대로 66,서울 용산구 한강로2가 204,용산호반써밋에이디션 오피스텔 일대,37.52640517593531,126.96586029548229,road,"서울특별시 용산구 한강대로 66 (한강로2가,호반써밋 A . DITION)",OK,11030730,한강로동,11030,용산구
