상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
MA010120220800273842,서울아동발달연구소,,Q1,보건의료,Q104,기타 보건,Q10402,유사 의료업,Q86902,유사 의료업,11,서울특별시,11170,용산구,11170510,후암동,1117010100,후암동,1117010100103390004,1,대지,339,4,서울특별시 용산구 후암동 339-4,111704106070,서울특별시 용산구 두텁바위로58길,7,,1117010100103390004026571,,서울특별시 용산구 두텁바위로58길 7,140901,04328,,,,126.982425390281,37.5502825167951,11030510,후암동,11030,용산구
MA010120220803020076,힐링테라피,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,11,서울특별시,11170,용산구,11170555,청파동,1117011100,청파동3가,1117011100100240004,1,대지,24,4,서울특별시 용산구 청파동3가 24-4,111703101023,서울특별시 용산구 청파로,275,,1117011100100240004020315,,서울특별시 용산구 청파로 275,140133,04313,,3,,126.970477557857,37.5440722517376,11030710,청파동,11030,용산구
MA010120220801022171,어반아트,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,11,서울특별시,11170,용산구,11170660,이태원2동,1117013000,이태원동,1117013000102580195,1,대지,258,195,서울특별시 용산구 이태원동 258-195,111704106183,서울특별시 용산구 소월로44길,7,,1117013000102580195000001,건물1,서울특별시 용산구 소월로44길 7,140856,04344,,2,,126.99278079557,37.5424268924191,11030660,이태원2동,11030,용산구
MA010120220800312211,강남용역주,,N1,시설관리·임대,N104,고용 알선,N10402,임시/일용 인력 공급업,N75121,임시 및 일용 인력 공급업,11,서울특별시,11170,용산구,11170625,한강로동,1117012500,한강로2가,1117012500103140001,1,대지,314,1,서울특별시 용산구 한강로2가 314-1,111702005005,서울특별시 용산구 한강대로,109,,1117012500103140001028622,용성비즈텔,서울특별시 용산구 한강대로 109,140750,04376,,,,126.968163840596,37.5299980239665,11030730,한강로동,11030,용산구
MA010120220804857144,스노우브릿지,,G2,소매,G218,장식품 소매,G21802,기념품점,G47842,기념품; 관광 민예품 및 장식용품 소매업,11,서울특별시,11170,용산구,11170555,청파동,1117011000,청파동2가,1117011000100530012,1,대지,53,12,서울특별시 용산구 청파동2가 53-12,111704106365,서울특별시 용산구 청파로47길,100,,1117011000100530006020073,숙명여자대학교,서울특별시 용산구 청파로47길 100,140742,04310,,2,,126.965079358457,37.5454673275581,11030710,청파동,11030,용산구
MA010120220805290064,용산공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11170,용산구,11170650,이태원1동,1117013000,이태원동,1117013000100180048,1,대지,18,48,서울특별시 용산구 이태원동 18-48,111703102003,서울특별시 용산구 보광로,98,,1117013000100000091010703,,서울특별시 용산구 보광로 98,140858,04406,,,,126.995214289422,37.5316330305825,11030650,이태원1동,11030,용산구
MA010120220800064975,알래스카플러스,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,11,서울특별시,11170,용산구,11170685,한남동,1117013100,한남동,1117013100107140000,1,대지,714,,서울특별시 용산구 한남동 714,111702102003,서울특별시 용산구 한남대로,98,,1117013100107140000000001,일신빌딩,서울특별시 용산구 한남대로 98,140894,04418,,2,,127.005521511299,37.5371651437786,11030740,한남동,11030,용산구
MA010120220800261210,스즈란테이,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103010010,1,대지,301,10,서울특별시 용산구 이촌동 301-10,111703102008,서울특별시 용산구 이촌로,245,,1117012900103010010011394,로얄,서울특별시 용산구 이촌로 245,140906,04423,,지,,126.974366992625,37.5201786085417,11030630,이촌1동,11030,용산구
MA010120220800261255,두이SHOP,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,11,서울특별시,11170,용산구,11170650,이태원1동,1117013000,이태원동,1117013000100560009,1,대지,56,9,서울특별시 용산구 이태원동 56-9,111704106299,서울특별시 용산구 이태원로14길,6,,1117013000100560009000001,이태원시장,서울특별시 용산구 이태원로14길 6,140863,04390,,,,126.990054934875,37.5338221415263,11030650,이태원1동,11030,용산구
MA010120220800261370,원효해장국,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11170,용산구,11170560,원효로1동,1117011300,원효로2가,1117011300100830006,1,대지,83,6,서울특별시 용산구 원효로2가 83-6,111703005018,서울특별시 용산구 새창로,129,,1117011300100830006019574,,서울특별시 용산구 새창로 129,140847,04364,,,,126.961383884279,37.5361588486209,11030720,원효로1동,11030,용산구
