NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
102000178,03272,서빙고동,126.992986,37.519851,일반차로,11030690,서빙고동,11030,용산구
102000179,03273,서빙고동주민센터,126.9948813029,37.5203840049,일반차로,11030690,서빙고동,11030,용산구
102000180,03274,동빙고동,126.996690677,37.5208183604,일반차로,11030690,서빙고동,11030,용산구
102000181,03275,동빙고동,126.9970390394,37.5212625565,일반차로,11030690,서빙고동,11030,용산구
102000182,03276,보광신동아아파트.삼성리버빌아파트,127.0020297105,37.5247380028,일반차로,11030700,보광동,11030,용산구
102000183,03277,보광동신동아아파트,127.0015149467,37.5256237907,일반차로,11030700,보광동,11030,용산구
102000184,03278,보광동주민센터,127.0005046107,37.5264591178,일반차로,11030700,보광동,11030,용산구
102000185,03279,보광동,126.999026,37.528342,일반차로,11030700,보광동,11030,용산구
102000186,03280,보광동,126.998896846,37.528182014,일반차로,11030700,보광동,11030,용산구
102000187,03281,한국폴리텍1대학,126.9967926172,37.5301959868,일반차로,11030700,보광동,11030,용산구
102000188,03282,한국폴리텍1대학,126.9965748167,37.5305293513,일반차로,11030700,보광동,11030,용산구
102000189,03283,이태원역.보광동입구,126.994213,37.5334,일반차로,11030650,이태원1동,11030,용산구
102000190,03284,이태원역.보광동입구,126.9942269972,37.5338224192,일반차로,11030650,이태원1동,11030,용산구
102000191,03285,한남역.용산노인종합복지관,127.006795706,37.5312239311,일반차로,11030740,한남동,11030,용산구
102000192,03286,한남역.용산노인종합복지관,127.007769858,37.5306687947,일반차로,11030740,한남동,11030,용산구
102000193,03287,이촌119안전센터.성촌공원,126.9529474778,37.5300799765,일반차로,11030640,이촌2동,11030,용산구
102000194,03288,이촌로입구.성촌공원앞,126.9546065451,37.5301710306,일반차로,11030730,한강로동,11030,용산구
102000195,03289,이촌로입구.성촌공원앞,126.954351091,37.529747416,일반차로,11030640,이촌2동,11030,용산구
102000196,03290,이촌2동주민센터,126.9550639882,37.5277364382,일반차로,11030730,한강로동,11030,용산구
