parcel_idx,from_rep,PNU,JIBUN,지목,면적,내접폭,법정동코드,국유_건수,국유_지분면적,국유_지분율,국유_지번일치,점수,커버기여,누적커버율,순위,경도,위도
6710,False,1120010700101470000,147대,대,22216.31126530094,99.92208593022458,1120010700,0,0.0,0.0,False,0.5971073465247657,175.95465167324934,0.07065477763586948,1,127.0370154700866,37.56063815168769
17657,True,1120011500103330079,333-79대,대,133.3476292914239,11.487098258293116,1120011500,0,0.0,0.0,False,0.5607928391715127,174.6912853206205,0.14080224916832662,2,127.05274560791685,37.54224184819787
11698,True,1120011100106280002,628-2대,대,112.48714674694389,10.116207179062918,1120011100,0,0.0,0.0,False,0.48825939403944885,172.72675169261422,0.21016086013173935,3,127.02275083768403,37.55086064384906
13584,False,1120011300105610000,561 대,대,65361.060227881724,232.78034435170417,1120011300,0,0.0,0.0,False,0.560660244110297,161.99694878440775,0.27521090731836795,4,127.01460246267091,37.54460528544436
14191,True,1120011400106561050,656-1050 장,장,119.49873454344143,8.846414797750004,1120011400,0,0.0,0.0,False,0.5497055270322078,146.10220954892534,0.333878405049307,5,127.04657376145728,37.54770094249216
7187,False,1120010700103440000,344대,대,21382.641809086617,92.74494270914046,1120010700,0,0.0,0.0,False,0.5364110850238055,144.2180390763392,0.3917893121217856,6,127.0318063778397,37.55415248925142
1961,False,1120010300106140000,614 대,대,8981.18656510607,82.65404728217662,1120010300,0,0.0,0.0,False,0.49687195099573916,138.01698867659897,0.44721018080689556,7,127.0290950290525,37.56640674600719
4403,False,1120010500107650001,765-1대,대,39485.02734932509,185.25310651273844,1120010500,0,0.0,0.0,False,0.3801799874518941,131.33387078070854,0.4999474363885264,8,127.04041479928853,37.5678450069538
19569,False,1120011500102780035,278-35대,대,629.2390248984068,20.093291039853323,1120011500,0,0.0,0.0,False,0.4850530842032783,128.3028225450454,0.5514675713253898,9,127.06145061489852,37.546031797485995
4761,False,1120010600101640001,164-1도,도,1122.8416042076542,7.978148807803504,1120010600,0,0.0,0.0,False,0.4619708733328657,124.68063131595315,0.6015332115193613,10,127.04629543467416,37.55919328258503
23519,False,1120012200102450004,245-4 잡,잡,20240.196137797386,138.40345214304293,1120012200,0,0.0,0.0,False,0.3392092813370976,111.02223607476564,0.6461143085685401,11,127.06123387889303,37.557744884807335
16128,False,1120011400107200000,720 공,공,207530.52123692745,392.3639093809636,1120011400,0,0.0,0.0,False,0.3646978971970895,98.68965029803041,0.685743242674345,12,127.04040166359148,37.543518077563576
20917,True,1120011500103310051,331-51대,대,112.4705189824328,9.425456007658033,1120011500,0,0.0,0.0,False,0.566431254544623,97.02159944836153,0.7247023691862733,13,127.05683027794602,37.53790889431282
7155,False,1120010700103470000,347대,대,118332.04854923477,267.94056702492827,1120010700,0,0.0,0.0,False,0.4563297043638011,88.79015508240089,0.7603561504528878,14,127.02637567552486,37.558478615207356
22927,True,1120012200101690004,169-4대,대,103.24381622305397,9.090663927994068,1120012200,0,0.0,0.0,False,0.4526240851069921,78.65478032067884,0.7919400611975483,15,127.05073816502066,37.56408962796123
21295,False,1120011800100730012,73-12도,도,93910.7679632574,181.03664733233774,1120011800,0,0.0,0.0,False,0.3392092813370976,60.88976745678184,0.8163904121206252,16,127.06734331573675,37.555398965234446
22211,False,1120011800100750007,75-7도,도,1246.3765206958271,11.07982319062554,1120011800,0,0.0,0.0,False,0.38833854475479046,60.62469726816683,0.8407343238273679,17,127.0551172895554,37.55090031599208
15513,False,1120011400101690000,169대,대,199.79454866805864,10.778795529125064,1120011400,0,0.0,0.0,False,0.5200200273050531,56.28025930642218,0.8633337218470843,18,127.04718791450505,37.538650161999364
12913,False,1120011200115530000,1553 대,대,30885.439353065198,142.53409877900364,1120011200,0,0.0,0.0,False,0.5468452744984075,54.810064497419,0.885342761576618,19,127.02569252487683,37.54658559134617
8040,False,1120010700100670001,67-1 도,도,4836.804919061549,19.533829916916346,1120010700,0,0.0,0.0,False,0.3833226336533454,49.05191265044968,0.9050396093039947,20,127.04199159935733,37.55378890716956
