parcel_idx,from_rep,PNU,JIBUN,지목,면적,내접폭,법정동코드,국유_건수,국유_지분면적,국유_지분율,국유_지번일치,점수,커버기여,누적커버율,순위,경도,위도
8430,False,1117010500100610009,61-9 도,도,800.8923279947147,14.289420013857164,1117010500,0,0.0,0.0,False,0.6928534834880336,59.221697187077915,0.03334442884337486,1,126.9725363179375,37.54377917882437
31047,False,1117013000101280005,128-5대,대,703.581822951393,21.398732555829383,1117013000,0,0.0,0.0,False,0.6451571019836791,58.644590516289725,0.0663639211646108,2,126.9935841148265,37.5340513963495
21567,False,1117012100100050230,5-230도,도,52.353710822363375,3.8273720491871117,1117012100,0,0.0,0.0,False,0.6050728358258348,58.17531192687519,0.09911918893174418,3,126.96122308145567,37.5392710071009
9455,False,1117010700100430207,43-207도,도,6817.226551620945,28.128343256329195,1117010700,0,0.0,0.0,False,0.6283857687662936,56.78102738370546,0.1310894129742731,4,126.97208080528509,37.55152766176986
26882,False,1117013000105370000,537대,대,95.859032288782,7.373167057604897,1117013000,0,0.0,0.0,False,0.5316019940516239,50.96483146794756,0.159784862059923,5,126.98724791103503,37.53585288368828
25475,False,1117012900104090000,409대,대,14448.289914432084,98.99296222054235,1117012900,0,0.0,0.0,False,0.5594897302007906,48.34271822748862,0.1870039456829358,6,126.97367610956891,37.52035340728537
4504,True,1117010200100011596,1-1596대,대,97.87072261622777,8.971255565652054,1117010200,0,0.0,0.0,False,0.35041506614191736,46.231163846414,0.2130341310110172,7,126.98327143158241,37.546048812529
28591,False,1117013000107290000,729대,대,37567.749151594835,139.1115379801848,1117013000,0,0.0,0.0,False,0.3546425616108694,43.92308893399261,0.2377647683129876,8,126.98837853741259,37.54107880174601
23283,False,1117012500104220002,422-2 도,도,3345.5358192072067,23.239001002085985,1117012500,0,0.0,0.0,False,0.49322185822042786,43.5848258227875,0.2623049485565206,9,126.96620626737405,37.52900112842119
19040,False,1117011800100780001,78-1대,대,305.4792747911755,15.848723558787261,1117011800,0,0.0,0.0,False,0.3544430910911447,42.444367808114116,0.28620300061181536,10,126.95262718718918,37.53386186891537
1105,False,1117010100100600006,60-6대,대,172.06331493744474,12.881787365721383,1117010100,0,0.0,0.0,False,0.36932521229507587,42.07279414102779,0.309891840295788,11,126.97864477285181,37.550628033071646
22767,False,1117012400100970000,97도,도,10572.843334737805,74.59541396152447,1117012400,0,0.0,0.0,False,0.4612110174957408,41.90682780737123,0.33348723361017196,12,126.97412342484795,37.535310136771585
38111,False,1117013300102350013,235-13잡,잡,4982.809867438347,37.93927320163242,1117013300,0,0.0,0.0,False,0.4400263095770476,40.02159351078594,0.3560211568242142,13,126.99109657603123,37.52089660695445
42158,False,1117013600103230000,323대,대,78.99633257238635,8.929956761574758,1117013600,0,0.0,0.0,False,0.3815671502316329,39.47730541814483,0.3782486218238281,14,126.99924123879703,37.52684355643646
25669,False,1117012900103010060,301-60공,공,1726.0157764591286,38.330634246416324,1117012900,0,0.0,0.0,False,0.3667780890511531,37.6489734965031,0.3994466552711738,15,126.98001128036319,37.51873284371298
29366,False,1117013000102580072,258-72대,대,665.1785976547648,21.139389280069757,1117013000,0,0.0,0.0,False,0.3703016160960729,36.34364032817457,0.41990972854318487,16,126.99471501632605,37.541259455302466
37303,False,1117013200103100001,310-1대,대,6522.23366392772,72.24175747154862,1117013200,0,0.0,0.0,False,0.36585335038913613,36.03634053623975,0.44019977847185293,17,126.9929057807638,37.52864534956917
18064,False,1117011700100010002,1-2대,대,10575.908759741473,90.25443599085737,1117011700,0,0.0,0.0,False,0.3990366745751459,35.322721133794246,0.46008802918644365,18,126.9589624739934,37.53494544127846
16203,True,1117011200100430017,43-17대,대,32.11057465436427,5.532035224076662,1117011200,0,0.0,0.0,False,0.35584811968782326,31.655036970923682,0.47791121187026714,19,126.96930915747005,37.539358679850295
234,False,1117010100101910002,191-2 도,도,79.06722811935047,5.994237530942111,1117010100,0,0.0,0.0,False,0.39436692367280124,31.5148298665376,0.4956554517672811,20,126.97706166285714,37.54666334200648
