parcel_idx,from_rep,PNU,JIBUN,지목,면적,내접폭,법정동코드,국유_건수,국유_지분면적,국유_지분율,국유_지번일치,점수,커버기여,누적커버율,순위,경도,위도
23236,False,1117012500104220000,422 대,대,11934.449671969698,73.29871199052482,1117012500,0,0.0,0.0,False,0.7459688791570489,68.11797696155973,0.03038528212489051,1,126.96620642996407,37.528640727796706
7278,False,1117010400100870001,87-1대,대,1163.0166159145763,29.44721016110687,1117010400,0,0.0,0.0,False,0.6439368132891463,64.55186810815441,0.059179835510729674,2,126.97185738370835,37.54377901896931
21463,False,1117012100100050034,5-34대,대,69.92494929109657,7.96097740915035,1117012100,0,0.0,0.0,False,0.5667848113997251,60.31643760294394,0.08608509686880042,3,126.96190234146628,37.53855042809559
22933,False,1117012400102280001,228-1 도,도,7287.0156242657995,36.74650474024058,1117012400,0,0.0,0.0,False,0.7546585908171943,59.73794680012061,0.11273231171647112,4,126.97367104326882,37.53476943633484
29463,False,1117013000101270007,127-7대,대,675.7226873266417,23.6138755321089,1117013000,0,0.0,0.0,False,0.6057363148835047,57.979430522062934,0.13859510788916932,5,126.9947154995822,37.53441185275163
9144,True,1117010700100430014,43-14대,대,129.2519044227102,8.89296678980914,1117010700,0,0.0,0.0,False,0.6071265490646354,57.90203419665352,0.16442338000099702,6,126.9719709527198,37.55159679386227
25442,False,1117012900104070000,407대,대,10561.986065978504,67.70167457134642,1117012900,0,0.0,0.0,False,0.5019019540018002,53.53465038158282,0.18830349987331396,7,126.97322311311379,37.52179491005913
16223,False,1117011200100570015,57-15도,도,5154.27383354341,14.272528373671062,1117011200,0,0.0,0.0,False,0.412703819884225,51.22780732661004,0.21115460978130465,8,126.96869105860966,37.53891282315982
26580,False,1117013000104470009,447-9대,대,163.52839763511565,12.356759265926797,1117013000,0,0.0,0.0,False,0.5404618742867703,50.75507121363014,0.23379484701215136,9,126.98792686061584,37.53531235464406
31843,False,1117013100107280002,728-2대,대,2637.0020295161357,33.07773189101851,1117013100,0,0.0,0.0,False,0.42355167217275175,50.29616604727053,0.2562303811151251,10,127.00195669148953,37.539457557448436
32865,False,1117013100100760029,76-29대,대,108.06756538669467,6.37105872257678,1117013100,0,0.0,0.0,False,0.5118493626767827,48.41745634697151,0.2778278820465241,11,127.00693470501595,37.53351076644873
6965,False,1117010200100010237,1-237대,대,97.39697339631536,8.422243224692274,1117010200,0,0.0,0.0,False,0.29451233603260374,45.06205777034726,0.29792864545076897,12,126.98339874676728,37.5461238035756
28591,False,1117013000107290000,729대,대,37567.749151594835,139.1115379801848,1117013000,0,0.0,0.0,False,0.2841514290675613,43.268186231024536,0.31722921931255443,13,126.9888311977121,37.54071844547971
24558,False,1117012800100650001,65-1 대,대,44844.865939276766,189.9059759773356,1117012800,0,0.0,0.0,False,0.26098440702728976,42.2695290758625,0.33608432369977276,14,126.96620886846692,37.52323471578362
19037,True,1117011800100750001,75-1대,대,189.69979816005934,9.51685922069793,1117011800,0,0.0,0.0,False,0.3193632551153911,41.268539695517006,0.35449291828029234,15,126.9528874624201,37.53394250965915
1533,False,1117010100101050056,105-56도,도,2257.053752140803,4.776561568524365,1117010100,0,0.0,0.0,False,0.3948164801335886,41.10910235091288,0.37283039288759584,16,126.97706116588719,37.54828513983332
23499,False,1117012500100730001,73-1대,대,293.74204486773795,15.256578855350469,1117012500,0,0.0,0.0,False,0.3853718593607717,40.161096302393275,0.3907449918822454,17,126.97140985238839,37.530444105231965
13439,False,1117011000100010170,1-170도,도,872.0860649027137,8.835343863809953,1117011000,0,0.0,0.0,False,0.2814152700739985,40.06688795052254,0.4086175675010138,18,126.9657457391551,37.54648040180131
25652,False,1117012900104030000,403대,대,19952.81963997186,89.5546104914055,1117012900,0,0.0,0.0,False,0.40102456779959794,39.46865333050171,0.42622328951494803,19,126.97887999999732,37.5190930481304
38111,False,1117013300102350013,235-13잡,잡,4982.809867438347,37.93927320163242,1117013300,0,0.0,0.0,False,0.4282764832107946,38.67002225366875,0.44347276738209895,20,126.99109657603123,37.52089660695445
