자치구,사업장명,주소,위도,경도,지오코딩출처,매칭주소,지오코딩상태,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
성동구,농업회사법인 (주)가람,서울특별시 성동구 마장로35나길 9-1 (마장동),37.56856324747558,127.04045253265039,road,서울특별시 성동구 마장로35나길 9-1 (마장동),OK,11040540,마장동,11040,성동구
성동구,한불모터스(주)성수서비스센터,서울특별시 성동구 광나루로 310 한불모터스(주) (성수동2가),37.54777835552815,127.06446516628637,road,서울특별시 성동구 광나루로 310 (성수동2가),OK,11040680,성수2가3동,11040,성동구
성동구,(주)에코시티서울,서울특별시 성동구 가람길 113 (송정동),37.55422625166764,127.05680186665887,road,서울특별시 성동구 가람길 113 (송정동),OK,11040700,용답동,11040,성동구
성동구,한국전력공사 서울본부,서울특별시 성동구 마장로39길 7 (마장동),,,,,FAIL,,,,
성동구,(주)엘피존,서울특별시 성동구 성수이로22길 57 영진디지털타워 4층,37.54331340171652,127.06334261632391,road,서울특별시 성동구 성수이로22길 57 (성수동2가),OK,11040680,성수2가3동,11040,성동구
성동구,(주)신도리코,서울특별시 성동구 성수이로24길 3,37.545578776409585,127.05905487007263,road,서울특별시 성동구 성수이로24길 3 (성수동2가),OK,11040680,성수2가3동,11040,성동구
성동구,한국전력 광진성동지사,서울특별시 성동구 마장로27길 13 (마장동),,,,,FAIL,,,,
성동구,삼성물산(주),서울특별시 성동구 왕십리로 27 (성수동1가),37.56023530415396,127.03196934904764,road,서울특별시 성동구 왕십리로21길 27 (행당동),OK,11040560,행당1동,11040,성동구
성동구,(주)리딩푸드시스템 k1(앰코테크놀로지코리아),서울특별시 성동구 동일로 151 2층 (성수동2가 앰코코리아),,,,,FAIL,,,,
성동구,서울교통공사 군자차량사업소,서울특별시 성동구 천호대로78길 58 (용답동 지하철군자차량기지),37.556433489999186,127.05466899632358,road,서울특별시 성동구 천호대로78길 58 (용답동),OK,11040700,용답동,11040,성동구
성동구,(주)프리마산업,서울특별시 성동구 자동차시장3길 64 (용답동),,,,,FAIL,,,,
성동구,(주)정직한고기총각,서울특별시 성동구 마장로29길 60 (마장동),37.57127759709385,127.03731459596611,road,서울특별시 성동구 마장로29길 60 (마장동),OK,11040540,마장동,11040,성동구
성동구,주식회사 남은종합유통,서울특별시 성동구 고산자로 326-17 1층 2호 (마장동),37.568571979256895,127.03774551731044,road,서울특별시 성동구 고산자로 326-17 (마장동),OK,11040540,마장동,11040,성동구
성동구,(주)참우푸드,서울특별시 성동구 마장로29길 51-1 (마장동),37.57072470456383,127.03691141288732,road,서울특별시 성동구 마장로29길 51-1 (마장동),OK,11040540,마장동,11040,성동구
성동구,(주)강원축산,서울특별시 성동구 청계천로10가길 70 (마장동),37.57135649093409,127.03591052058117,road,서울특별시 성동구 청계천로10가길 70 (마장동),OK,11040540,마장동,11040,성동구
성동구,아침한우,서울특별시 성동구 고산자로22길 3 2층 (마장동),37.56930586926075,127.03779666177923,road,서울특별시 성동구 고산자로22길 3 (마장동),OK,11040540,마장동,11040,성동구
성동구,(주)태양미트고기선수촌,서울특별시 성동구 청계천로10가길 102 (마장동),37.57152498080444,127.03743864688147,road,서울특별시 성동구 청계천로10가길 102 (마장동),OK,11040540,마장동,11040,성동구
성동구,새로미,서울특별시 성동구 마장로39길 7  (마장동),,,,,FAIL,,,,
성동구,(주)이마트 성수점,서울특별시 성동구 뚝섬로 379 (성수동2가),,,,,FAIL,,,,
성동구,(주)이마트왕십리점,서울특별시 성동구 왕십리광장로 17 (행당동),37.561467723574125,127.0383445078572,road,서울특별시 성동구 왕십리광장로 17 (행당동),OK,11040560,행당1동,11040,성동구
성동구,(주)비트플렉스,서울특별시 성동구 왕십리광장로 17 (행당동),37.561467723574125,127.0383445078572,road,서울특별시 성동구 왕십리광장로 17 (행당동),OK,11040560,행당1동,11040,성동구
성동구,성동구청,서울특별시 성동구 고산자로 270  (행당동),37.56342805169756,127.03690807227227,road,서울특별시 성동구 고산자로 270 (행당동),OK,11040560,행당1동,11040,성동구
성동구,시설관리공단,서울특별시 성동구 청계천로 540  (마장동),37.571622684168005,127.03608772963378,road,서울특별시 성동구 청계천로 540 (마장동),OK,11040540,마장동,11040,성동구
성동구,롯데쇼핑(주)롯데마트행당역점,서울특별시 성동구 행당로 84 (행당동 행당한진타운종합상가),37.55656041637432,127.02872565066926,road,서울특별시 성동구 행당로 84 (행당동),OK,11040570,행당2동,11040,성동구
성동구,한양여자대학교,서울특별시 성동구 살곶이길 200 (사근동 한양여자대학),37.55913764590071,127.0499952545277,road,서울특별시 성동구 살곶이길 200 (사근동),OK,11040550,사근동,11040,성동구
성동구,한양대학교,서울특별시 성동구 왕십리로 222 한양대학교 (사근동),37.55839107944937,127.04469998943848,road,서울특별시 성동구 왕십리로 222 (사근동),OK,11040550,사근동,11040,성동구
성동구,경남식품,서울특별시 성동구 광나루로6길 7  (성수동2가),37.54783954791714,127.06050342725548,road,서울특별시 성동구 광나루로6길 7 (성수동2가),OK,11040680,성수2가3동,11040,성동구
성동구,서울특별시 한강사업본부,서울특별시 성동구 강변북로 257 1층 (성수동1가 한강사업본부),37.53896163471305,127.04160410040939,road,서울특별시 성동구 강변북로 257 (성수동1가),OK,11040650,성수1가1동,11040,성동구
