어린이집명,상세주소,시설 위도(좌표값),시설 경도(좌표값),ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
구립 금삼어린이집,서울특별시 성동구 금호동3가 금호산길 14,37.5492244,127.0197403,11040720,금호2·3가동,11040,성동구
우리은행어린이집,서울특별시 성동구 성수동2가 광나루로 324 우리은행 화양동지점,37.54793915,127.0657381,11040680,성수2가3동,11040,성동구
구립 풍림아름다운어린이집,서울특별시 성동구 난계로 84 행당역풍림아이원아파트 관리동 (하왕십리동),37.55891341,127.025261,11040520,왕십리2동,11040,성동구
구립 벽산어린이집,"서울특별시 성동구 금호동1가 행당로6길 2 (금호동1가, 금호벽산제2관리소 2층)",37.55539336,127.0253734,11040590,금호1가동,11040,성동구
구립 독서당어린이집,서울특별시 성동구 매봉길 17 래미안리버젠 2단지,37.54650054,127.0144754,11040730,옥수동,11040,성동구
구립 서울숲어린이집,서울특별시 성동구 금호동4가 금호로 17 서울숲 푸르지오2차 관리동,37.54623594,127.0238087,11040620,금호4가동,11040,성동구
구립 래미안하이리버어린이집,서울특별시 성동구 금호동2가 금호로 107 래미안하이리버아파트 관리동,37.55129939,127.0246025,11040720,금호2·3가동,11040,성동구
구립 금호자이햇살어린이집,서울특별시 성동구 금호동3가 금호산8길 14 금호자이2차아파트 내,37.54993201,127.0201665,11040720,금호2·3가동,11040,성동구
구립 래미안리버젠어린이집,서울특별시 성동구 매봉길 15 래미안리버젠아파트 관리동,37.54519202,127.0165437,11040730,옥수동,11040,성동구
구립 빛초롱어린이집,서울특별시 성동구 왕십리로 36 강변건영아파트 관리동 2층 (성수동1가),37.54034501,127.0450335,11040650,성수1가1동,11040,성동구
아이으뜸어린이집,"서울특별시 성동구 뚝섬로 51 102동 101호(옥수동, 옥수풍림아이원)",37.54203222,127.0194766,11040730,옥수동,11040,성동구
예인꼬마숲어린이집,서울특별시 성동구 금호동4가 금호로 15 서울숲푸르지오 1차 105동 102호,37.54452874,127.0228351,11040620,금호4가동,11040,성동구
으뜸꼬마숲어린이집,"서울특별시 성동구 금호동1가 독서당로 343 203동 102호 (금호동1가, 삼성래미안아파트)",37.54904627,127.0274535,11040590,금호1가동,11040,성동구
구립 왕십리어린이집,서울특별시 성동구 고산자로 262 구립 왕십리어린이집,37.56236558,127.0364544,11040560,행당1동,11040,성동구
구립 금호자이미소어린이집,서울특별시 성동구 금호로 117 (금호동2가) 금호자이1차아파트 관리동 1층 (104동 앞),37.55267593,127.0232874,11040720,금호2·3가동,11040,성동구
구립 사과꽃어린이집,서울특별시 성동구 금호로 111 (금호동2가) 래미안하이리버 임대동 1층,37.55187763,127.023218,11040720,금호2·3가동,11040,성동구
아이뜰어린이집,서울특별시 성동구 고산자로 160 대림강변아파트 112-101,37.55378857,127.0350561,11040580,응봉동,11040,성동구
구립 행당푸르지오어린이집,서울특별시 성동구 고산자로 177,37.55576756,127.0335586,11040570,행당2동,11040,성동구
구립 동아어린이집,서울특별시 성동구 고산자로2길 13 구립동아어린이집,37.55249791,127.0365494,11040580,응봉동,11040,성동구
디즈니 어린이집,"서울특별시 성동구 독서당로 377 107동 102호(응봉동, 금호현대)",37.55099268,127.0309922,11040580,응봉동,11040,성동구
꼬마숲어린이집,"서울특별시 성동구 고산자로 164 105동 103호(행당동, 행당한신)",37.55519044,127.0361429,11040560,행당1동,11040,성동구
