기준일ID,시간대구분,행정동코드,총생활인구수
20260601,10,11200560,45613.596
20260601,10,11200570,12286.4672
20260601,10,11200580,9016.9525
20260601,10,11200590,9412.884
20260601,10,11200615,13444.3012
20260601,10,11200620,9637.4426
20260601,10,11200645,25369.0038
20260601,10,11200650,21325.2517
20260601,10,11200660,31051.8025
20260601,10,11200670,20047.3605
20260601,10,11200690,60042.5187
20260601,10,11200720,9608.1112
20260601,10,11200790,18666.2882
20260601,11,11200520,10466.5161
20260601,11,11200535,19678.3434
20260601,11,11200540,18801.1726
20260601,11,11200550,36839.5539
20260601,11,11200560,45012.9094
20260601,11,11200570,11549.0089
20260601,11,11200580,8595.6547
20260601,11,11200590,9187.79
20260601,11,11200615,12900.3244
20260601,11,11200620,9363.9481
20260601,11,11200645,24216.2746
20260601,11,11200650,22329.9929
20260601,11,11200660,32575.3059
20260601,11,11200670,20445.6155
20260601,11,11200690,61542.5077
20260601,11,11200720,9163.3492
20260601,11,11200790,18065.3065
20260601,12,11200520,10389.8011
20260601,12,11200535,19614.8454
20260601,12,11200540,18671.7568
20260601,12,11200550,38947.3032
20260601,12,11200560,45757.7291
20260601,12,11200570,11280.898
20260601,12,11200580,8608.4443
20260601,12,11200590,8878.8981
20260601,12,11200615,12620.0723
20260601,12,11200620,9151.0733
20260601,12,11200645,23646.6707
20260601,12,11200650,22848.7331
20260601,12,11200660,33080.1943
20260601,12,11200670,21258.289
20260601,12,11200690,64727.8619
20260601,12,11200720,9220.1284
20260601,12,11200790,17732.4782
20260601,13,11200520,10362.2548
20260601,13,11200535,19128.2103
20260601,13,11200540,18596.125
20260601,13,11200550,39230.5466
20260601,13,11200560,46484.4115
20260601,13,11200570,11528.3569
20260601,13,11200580,8450.7369
20260601,13,11200590,8895.7078
20260601,13,11200615,12507.5632
20260601,13,11200620,9172.3877
20260601,13,11200645,23586.3123
20260601,13,11200650,23310.449
20260601,13,11200660,32664.2128
20260601,13,11200670,21426.6585
20260601,13,11200690,66124.2165
20260601,13,11200720,9064.2399
20260601,13,11200790,17855.9433
20260601,14,11200520,10346.1143
20260601,14,11200535,19415.483
20260601,14,11200540,17615.5242
20260601,14,11200550,39642.6598
20260601,14,11200560,47382.645
20260601,14,11200570,11411.5142
20260601,14,11200580,8337.8739
20260601,14,11200590,8896.825
20260601,14,11200615,12834.6381
20260601,14,11200620,9580.9945
20260601,14,11200645,23476.8753
20260601,14,11200650,23415.0355
20260601,14,11200660,33751.1208
20260601,14,11200670,21281.4987
20260601,14,11200690,65696.3551
20260601,14,11200720,8859.5921
20260601,14,11200790,17636.2493
20260601,15,11200520,10940.6975
20260601,15,11200535,20398.1704
20260601,15,11200540,17389.273
20260601,15,11200550,37955.3279
20260601,15,11200560,47041.2108
20260601,15,11200570,11939.2025
