NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
103000061,4160,삼성래미안아파트앞,127.0275127211,37.5483498668,일반차로,11040620,금호4가동,11040,성동구
103000062,4161,옥수삼성아파트.래미안옥수리버젠,127.0148475565,37.5436204852,일반차로,11040730,옥수동,11040,성동구
103000063,4162,옥수삼성아파트.래미안옥수리버젠,127.0146552078,37.5438034317,일반차로,11040730,옥수동,11040,성동구
103000064,4163,미타사입구,127.0168373163,37.5448556208,일반차로,11040730,옥수동,11040,성동구
103000065,4164,래미안옥수리버젠.옥수중앙교회,127.0148446166,37.5459155767,일반차로,11040730,옥수동,11040,성동구
103000066,4165,래미안옥수리버젠.옥수중앙교회,127.014698,37.545782,가로변전일,11040730,옥수동,11040,성동구
103000506,4166,옥수파크힐스아파트앞,127.0130389488,37.5471160945,일반차로,11040730,옥수동,11040,성동구
103000507,4167,옥수파크힐스아파트앞,127.0130159995,37.5470204344,일반차로,11040730,옥수동,11040,성동구
103000069,4168,옥수동회차지,127.012436,37.549361,일반차로,11040730,옥수동,11040,성동구
103000070,4169,옥정중학교입구,127.011302745,37.5409040726,일반차로,11040730,옥수동,11040,성동구
103000071,4170,옥정중학교입구,127.0109994635,37.5408770683,일반차로,11040730,옥수동,11040,성동구
103000072,4171,성수1가1동새마을금고,127.0495477418,37.5382204647,일반차로,11040650,성수1가1동,11040,성동구
103000073,4172,성수1가새마을금고,127.0495105089,37.5383306996,일반차로,11040650,성수1가1동,11040,성동구
103000074,4173,천주교성수동성당앞,127.0461393549,37.5393704675,일반차로,11040650,성수1가1동,11040,성동구
103000075,4174,천주교성수동성당앞,127.0460740289,37.539305526,일반차로,11040650,성수1가1동,11040,성동구
103000076,4175,뚝도아리수정수센터.수도박물관,127.044202626,37.5409772406,일반차로,11040650,성수1가1동,11040,성동구
103000077,4176,뚝도아리수정수센터.수도박물관,127.04399,37.541407,일반차로,11040650,성수1가1동,11040,성동구
103000078,4177,서울숲역2번출구,127.044692,37.542958,일반차로,11040650,성수1가1동,11040,성동구
103000079,4178,서울숲역3번출구,127.0444980594,37.5430629438,일반차로,11040650,성수1가1동,11040,성동구
103000080,4179,성동구민종합체육센터,127.0448960891,37.5460719745,일반차로,11040650,성수1가1동,11040,성동구
103000081,4180,성동구민종합체육센터,127.0445340491,37.5464979897,일반차로,11040660,성수1가2동,11040,성동구
103000082,4181,성원중학교후문,127.0503149591,37.5399724321,일반차로,11040650,성수1가1동,11040,성동구
103000083,4182,성원중학교후문,127.050759594,37.5400388326,일반차로,11040670,성수2가1동,11040,성동구
103000084,4183,경일초등학교입구,127.0463723692,37.5410800235,일반차로,11040650,성수1가1동,11040,성동구
103000085,4184,경일초등학교입구,127.0460161257,37.5413797453,일반차로,11040650,성수1가1동,11040,성동구
