사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20260529,4호선,이촌(국립중앙박물관),12438,13098,20260601
20260529,4호선,신용산,25905,28967,20260601
20260529,4호선,삼각지(전쟁기념관),7677,9452,20260601
20260529,4호선,숙대입구(갈월),19098,18938,20260601
20260529,4호선,서울역,16180,24785,20260601
20260530,공항철도 1호선,서울역,13910,13363,20260602
20260530,경의선,효창공원앞,2307,2640,20260602
20260530,경의선,서울역,1180,1238,20260602
20260530,경원선,한남,2750,2924,20260602
20260530,경원선,서빙고,2339,2232,20260602
20260530,경원선,이촌(국립중앙박물관),4019,3127,20260602
20260530,경부선,용산,58198,61921,20260602
20260530,경부선,남영,7836,8272,20260602
20260530,경부선,서울역,11492,3359,20260602
20260530,6호선,한강진,11535,15354,20260602
20260530,6호선,이태원,15457,20777,20260602
20260530,6호선,녹사평(용산구청),6590,7971,20260602
20260530,6호선,삼각지(전쟁기념관),9070,8008,20260602
20260530,6호선,효창공원앞,6459,5789,20260602
20260530,4호선,이촌(국립중앙박물관),15345,15535,20260602
20260530,4호선,신용산,20889,23935,20260602
20260530,4호선,삼각지(전쟁기념관),7021,9500,20260602
20260530,4호선,숙대입구(갈월),13382,13432,20260602
20260530,4호선,서울역,8859,19742,20260602
20260530,1호선,서울역,73226,73593,20260602
20260531,경부선,서울역,12381,3263,20260603
20260531,경부선,남영,6189,6704,20260603
20260531,경부선,용산,50244,48334,20260603
20260531,경원선,이촌(국립중앙박물관),3261,2544,20260603
20260531,경원선,서빙고,2868,2995,20260603
20260531,경원선,한남,1769,1805,20260603
20260531,경의선,서울역,1038,1089,20260603
20260531,경의선,효창공원앞,1747,2079,20260603
20260531,공항철도 1호선,서울역,14229,13291,20260603
20260531,1호선,서울역,58621,58856,20260603
20260531,4호선,서울역,7041,16240,20260603
20260531,4호선,숙대입구(갈월),11259,10920,20260603
20260531,4호선,삼각지(전쟁기념관),5126,6738,20260603
20260531,4호선,신용산,16386,17654,20260603
20260531,4호선,이촌(국립중앙박물관),10767,11110,20260603
20260531,6호선,효창공원앞,4541,4020,20260603
20260531,6호선,삼각지(전쟁기념관),6531,5500,20260603
20260531,6호선,녹사평(용산구청),4800,4933,20260603
20260531,6호선,이태원,12573,9954,20260603
20260531,6호선,한강진,7990,9670,20260603
