도로명주소,상권업종대분류명,경도,위도
서울특별시 용산구 이촌로75길 16,음식,126.9744234,37.52058407
서울특별시 용산구 후암로 107,음식,126.9735634,37.55346139
서울특별시 용산구 이촌로 260,음식,126.9762114,37.51857521
서울특별시 용산구 신흥로 83,음식,126.9858665,37.54543561
서울특별시 용산구 한강대로76길 21-11,음식,126.9741445,37.54207289
서울특별시 용산구 녹사평대로54길 11,음식,126.9879723,37.53933607
서울특별시 용산구 서빙고로 297,음식,126.9964254,37.52125353
서울특별시 용산구 만리재로 138,음식,126.9627679,37.55156638
서울특별시 용산구 이태원로 222,음식,126.9988686,37.53478663
서울특별시 용산구 독서당로 39,예술·스포츠,127.0071616,37.53155182
서울특별시 용산구 이촌로77길 19,음식,126.9749212,37.5205121
서울특별시 용산구 한강대로39길 2-13,음식,126.9692155,37.53115158
서울특별시 용산구 이촌로77길 19,음식,126.9749212,37.5205121
서울특별시 용산구 한강대로88길 11-17,음식,126.9727744,37.54482063
서울특별시 용산구 백범로87길 48-5,음식,126.9694045,37.53930569
서울특별시 용산구 백범로 293,음식,126.9618914,37.53932152
서울특별시 용산구 효창원로69길 5,음식,126.9615622,37.54144778
서울특별시 용산구 이태원로45길 4,음식,126.9993438,37.5362012
서울특별시 용산구 효창원로 270,음식,126.963696,37.55133241
서울특별시 용산구 한강대로84길 11-16,음식,126.9732385,37.54438826
서울특별시 용산구 한강대로 162-2,음식,126.9722355,37.53331474
서울특별시 용산구 원효로41길 21-1,음식,126.9586466,37.53475236
서울특별시 용산구 녹사평대로46길 11,음식,126.9875426,37.53734482
서울특별시 용산구 이태원로27가길 12,음식,126.9945805,37.53517394
서울특별시 용산구 우사단로2길 1,예술·스포츠,126.9968774,37.53079516
서울특별시 용산구 한강대로104길 83,음식,126.9768576,37.55036265
서울특별시 용산구 이태원로 179,음식,126.9937432,37.5348135
서울특별시 용산구 한강대로54길 31,음식,126.9733445,37.53248607
서울특별시 용산구 원효로90길 16,음식,126.9696986,37.53959409
서울특별시 용산구 한강대로23길 55,음식,126.964736,37.5297718
서울특별시 용산구 이태원로42길 32,음식,127.0004073,37.53603001
서울특별시 용산구 신흥로 87,음식,126.9855949,37.54562478
서울특별시 용산구 한강대로 58-1,숙박,126.9651111,37.52582552
서울특별시 용산구 효창원로40길 24,음식,126.9600261,37.53622147
서울특별시 용산구 이촌로65가길 78,음식,126.9752265,37.52078246
서울특별시 용산구 청파로47가길 7,음식,126.9669582,37.54455786
서울특별시 용산구 대사관로30길 8,음식,127.0053402,37.53287639
서울특별시 용산구 한강대로 256,예술·스포츠,126.9735224,37.54128889
서울특별시 용산구 한강대로104길 57,음식,126.9753978,37.55036235
서울특별시 용산구 한강대로 188,음식,126.9740112,37.53496397
서울특별시 용산구 새창로 108-1,음식,126.960014,37.53771712
서울특별시 용산구 한강대로23길 55,음식,126.964736,37.5297718
서울특별시 용산구 한강대로 268,음식,126.9730808,37.5422078
서울특별시 용산구 이태원로49길 18,음식,126.9995022,37.53716527
서울특별시 용산구 한강대로84길 11-18,음식,126.9732045,37.54445132
서울특별시 용산구 청파로47길 52,음식,126.9676483,37.54497251
서울특별시 용산구 한강대로102길 11-24,음식,126.9731006,37.55011858
서울특별시 용산구 새창로 132,음식,126.961237,37.5357083
서울특별시 용산구 한남대로 59,예술·스포츠,127.0067206,37.53398455
서울특별시 용산구 독서당로 98,예술·스포츠,127.0114953,37.53507439
서울특별시 용산구 후암로 65,음식,126.9766536,37.55134469
서울특별시 용산구 보광로 86,음식,126.996176,37.53086721
서울특별시 용산구 이태원로 162,음식,126.9918651,37.53415565
서울특별시 용산구 보광로60길 6,숙박,126.9944674,37.53384946
서울특별시 용산구 이촌로 105,음식,126.9597159,37.52390467
서울특별시 용산구 이태원로 5-1,음식,126.9750067,37.53535162
서울특별시 용산구 대사관로 64,음식,127.0051705,37.5332368
서울특별시 용산구 새창로12길 11-3,음식,126.9578521,37.53916698
서울특별시 용산구 후암로57길 55,음식,126.9741188,37.55108288
서울특별시 용산구 보광로59길 7,음식,126.9935623,37.53382238
서울특별시 용산구 백범로 341,보건의료,126.9679794,37.53793579
서울특별시 용산구 이태원로 164-1,음식,126.9922385,37.5341737
서울특별시 용산구 보광로 21,음식,127.0005883,37.52634425
